iteration,gbest_value
0,1338.0294571179331
1,121.39227386261724
2,121.39227386261724
3,80.91744665086505
4,76.45648466880856
5,76.45648466880856
6,76.45648466880856
7,76.45648466880856
8,16.998222107364207
9,16.998222107364207
10,16.998222107364207
11,13.517640797550596
12,6.2279281233037915
13,4.326106015930241
14,3.9955606927566008
15,3.0441599069141696
16,3.0441599069141696
17,3.0441599069141696
18,3.0441599069141696
19,3.0441599069141696
20,3.0441599069141696
21,0.4764752865041958
22,0.4764752865041958
23,0.4764752865041958
24,0.4652315179238137
25,0.3183085110696026
26,0.3183085110696026
27,0.03157982985399802
28,0.03157982985399802
29,0.03157982985399802
30,0.03157982985399802
31,0.03157982985399802
32,0.009283054059409795
33,0.009283054059409795
34,0.009283054059409795
35,0.009283054059409795
36,0.00437040063731633
37,0.00437040063731633
38,0.00437040063731633
39,0.00437040063731633
40,0.00437040063731633
41,0.00437040063731633
42,0.00437040063731633
43,0.00437040063731633
44,0.00437040063731633
45,0.0015564418795911538
46,0.0015564418795911538
47,0.0014767552280564237
48,0.0014767552280564237
49,0.0014767552280564237
50,0.0014767552280564237
51,0.0014767552280564237
52,0.0011874451517733305
53,0.0006391527570222795
54,9.099424450106184e-05
55,9.099424450106184e-05
56,7.845387322521458e-05
57,7.845387322521458e-05
58,1.1421314128115797e-05
59,1.1421314128115797e-05
60,1.1421314128115797e-05
61,1.1421314128115797e-05
62,2.1148098274129123e-06
63,2.1148098274129123e-06
64,2.1148098274129123e-06
65,2.1148098274129123e-06
66,2.1148098274129123e-06
67,2.1148098274129123e-06
68,2.1148098274129123e-06
69,2.1148098274129123e-06
70,2.1148098274129123e-06
71,2.1148098274129123e-06
72,2.1148098274129123e-06
73,2.1148098274129123e-06
74,2.1148098274129123e-06
75,1.2109123510546139e-06
76,1.2109123510546139e-06
77,1.2109123510546139e-06
78,1.2109123510546139e-06
79,1.2109123510546139e-06
80,1.2109123510546139e-06
81,1.2109123510546139e-06
82,1.3999527923745352e-07
83,1.3999527923745352e-07
84,1.3999527923745352e-07
85,1.3999527923745352e-07
86,1.3999527923745352e-07
87,1.3999527923745352e-07
88,1.3999527923745352e-07
89,2.7677506321450843e-08
90,2.7677506321450843e-08
91,1.6943248039260743e-09
92,1.6943248039260743e-09
93,1.6943248039260743e-09
94,1.6943248039260743e-09
95,1.6943248039260743e-09
96,1.6943248039260743e-09
97,1.6943248039260743e-09
98,1.6943248039260743e-09
99,1.6943248039260743e-09
100,1.6943248039260743e-09
101,1.6943248039260743e-09
102,1.6943248039260743e-09
103,1.6943248039260743e-09
104,1.6943248039260743e-09
105,1.6943248039260743e-09
106,1.6943248039260743e-09
107,1.6943248039260743e-09
108,1.6943248039260743e-09
109,1.6943248039260743e-09
110,1.6943248039260743e-09
111,1.6943248039260743e-09
112,2.6542232331799096e-11
113,2.6542232331799096e-11
114,2.6542232331799096e-11
115,2.6542232331799096e-11
116,2.6542232331799096e-11
117,2.6542232331799096e-11
118,2.6542232331799096e-11
119,2.6542232331799096e-11
120,2.6542232331799096e-11
121,2.6542232331799096e-11
122,2.6542232331799096e-11
123,2.6542232331799096e-11
124,2.6542232331799096e-11
125,2.6542232331799096e-11
126,2.6542232331799096e-11
127,2.6542232331799096e-11
128,2.6542232331799096e-11
129,2.6542232331799096e-11
130,2.3834887380332263e-11
131,1.5567397775564937e-11
132,9.353782238092374e-12
133,8.280248172716346e-12
134,3.336148530321201e-12
135,3.336148530321201e-12
136,3.336148530321201e-12
137,3.336148530321201e-12
138,2.0111259836140297e-12
139,2.0111259836140297e-12
140,3.0817887257446225e-13
141,3.0817887257446225e-13
142,1.0498203611291239e-13
143,1.0498203611291239e-13
144,1.0498203611291239e-13
145,1.0498203611291239e-13
146,1.0498203611291239e-13
147,1.0498203611291239e-13
148,1.0498203611291239e-13
149,1.0498203611291239e-13
150,1.0498203611291239e-13
151,1.0498203611291239e-13
152,1.0498203611291239e-13
153,1.0498203611291239e-13
154,1.0498203611291239e-13
155,1.0498203611291239e-13
156,5.571504673354971e-14
157,2.6540036675819314e-14
158,2.6540036675819314e-14
159,1.7079047513828807e-14
160,1.4204177506400952e-14
161,5.0222421141322614e-15
162,4.381182237961896e-15
