evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
sequential,100,500,0.4,2.0,2.0,789,4.294066178812571e-22,0.252687,0.204843,0.033569,0.014276,32.146386,46
sequential,100,500,0.719,1.0,1.0,42,1.5538212767907296e-16,0.173422,0.15172,0.012079,0.009623,44.895519,8
sequential,100,500,0.719,1.0,1.0,99,6.25079751011529e-17,0.163778,0.144616,0.010777,0.008385,115.946887,76
sequential,100,500,0.719,1.0,1.0,123,3.4979166903340253e-16,0.323695,0.29704,0.013,0.013655,28.891578,64
sequential,100,500,0.719,1.0,1.0,456,1.439465420474034e-19,0.202107,0.176897,0.016142,0.009067,29.42282,47
sequential,100,500,0.719,1.0,1.0,789,1.360501724820897e-16,0.15464,0.136981,0.00983,0.007829,16.812595,20
sequential,100,500,0.719,1.0,1.49445,42,4.823276440933957e-16,0.184315,0.162698,0.012061,0.009556,24.34865,64
sequential,100,500,0.719,1.0,1.49445,99,6.031803168977585e-17,0.17354,0.1524,0.012123,0.009017,111.501905,23
sequential,100,500,0.719,1.0,1.49445,123,1.4816729923174056e-15,0.17533,0.154451,0.011433,0.009446,30.403803,62
sequential,100,500,0.719,1.0,1.49445,456,8.857381736706988e-19,0.275326,0.250231,0.014122,0.010973,17.631129,63
sequential,100,500,0.719,1.0,1.49445,789,6.197608410964605e-16,0.306397,0.276553,0.017869,0.011976,19.534061,66
sequential,100,500,0.719,1.0,2.0,42,1.945462559336467e-15,0.213563,0.188668,0.013547,0.011349,49.279657,36
sequential,100,500,0.719,1.0,2.0,99,2.4420837497634904e-16,0.216808,0.19063,0.014411,0.011767,122.938301,5
sequential,100,500,0.719,1.0,2.0,123,2.7794162266630286e-16,0.316517,0.286571,0.016169,0.013778,51.778813,66
sequential,100,500,0.719,1.0,2.0,456,3.3221128724802285e-15,0.302709,0.279322,0.01321,0.010178,9.777755,7
sequential,100,500,0.719,1.0,2.0,789,3.1528666119028713e-16,0.420527,0.366524,0.032731,0.021273,15.648251,4
sequential,100,500,0.719,1.49445,1.0,42,2.7580806867085935e-16,0.494601,0.419848,0.041193,0.033561,48.991877,84
sequential,100,500,0.719,1.49445,1.0,99,2.472762349870386e-20,0.641812,0.555663,0.039846,0.046302,112.90464,17
sequential,100,500,0.719,1.49445,1.0,123,2.1110305726440644e-17,0.330504,0.266627,0.030729,0.033148,43.561067,7
sequential,100,500,0.719,1.49445,1.0,456,1.1245151344848402e-15,0.12911,0.111112,0.009775,0.008223,27.046961,76
sequential,100,500,0.719,1.49445,1.0,789,4.842146844894242e-16,0.131444,0.116293,0.008495,0.006655,17.729014,59
sequential,100,500,0.719,1.49445,1.49445,42,1.4429146799541336e-15,0.121986,0.107206,0.007868,0.006912,21.598102,25
sequential,100,500,0.719,1.49445,1.49445,99,1.3394380572547422e-15,0.157236,0.13995,0.009884,0.007403,95.955602,22
sequential,100,500,0.719,1.49445,1.49445,123,3.2848357741508787e-15,0.355185,0.292123,0.041346,0.021716,39.1427,19
sequential,100,500,0.719,1.49445,1.49445,456,8.481429652847938e-17,0.217502,0.193084,0.013691,0.010726,14.652127,38
sequential,100,500,0.719,1.49445,1.49445,789,1.7163550077108535e-15,0.248161,0.22163,0.015338,0.011193,21.667203,98
sequential,100,500,0.719,1.49445,2.0,42,2.3320696885659345e-16,0.296831,0.269561,0.01574,0.01153,73.90016,87
sequential,100,500,0.719,1.49445,2.0,99,2.5194011367964045e-14,0.306707,0.274441,0.017705,0.014561,114.195571,21
sequential,100,500,0.719,1.49445,2.0,123,3.6538666040656465e-15,0.39546,0.353232,0.028833,0.013395,44.89994,6
sequential,100,500,0.719,1.49445,2.0,456,1.30803909307617e-13,0.928696,0.818632,0.052711,0.057353,48.279773,57
