chunk_size,mean_time,std_time,v0_mean,speedup_vs_v0,n_seeds
1,97.774,32.487,3.081,0.032,3
4,9.575,1.93,3.081,0.322,3
8,6.405,2.351,3.081,0.481,3
16,4.189,1.414,3.081,0.736,3
32,2.846,0.351,3.081,1.083,3
64,3.131,0.308,3.081,0.984,3
128,4.236,1.924,3.081,0.727,3
