latency_ms,evaluator,mean_time,std_time,n_seeds
1,sequential,3.053,2.349,3
1,async,0.551,0.326,3
5,sequential,3.332,0.418,3
5,async,0.24,0.043,3
10,sequential,7.506,2.236,3
10,async,0.305,0.012,3
20,sequential,9.706,1.046,3
20,async,0.45,0.031,3
50,sequential,34.399,8.197,3
50,async,1.293,0.367,3
