iteration,gbest_value
0,9.596403092320209
1,1.1610812084326838
2,1.1610812084326838
3,1.1610812084326838
4,1.1610812084326838
5,1.1610812084326838
6,1.1610812084326838
7,0.4912239112506853
8,0.4912239112506853
9,0.4912239112506853
10,0.4912239112506853
11,0.4912239112506853
12,0.4912239112506853
13,0.4912239112506853
14,0.4912239112506853
15,0.023064560169615334
16,0.023064560169615334
17,0.009367525922751696
18,0.009367525922751696
19,0.009367525922751696
20,0.008826668154021888
21,0.008826668154021888
22,0.008826668154021888
23,0.008826668154021888
24,0.008826668154021888
25,0.008826668154021888
26,0.008826668154021888
27,0.002552711803417651
28,0.002552711803417651
29,0.002552711803417651
30,0.002552711803417651
31,3.417069263633721e-05
32,3.417069263633721e-05
33,3.417069263633721e-05
34,3.417069263633721e-05
35,3.417069263633721e-05
36,3.417069263633721e-05
37,3.417069263633721e-05
38,3.417069263633721e-05
39,3.417069263633721e-05
40,3.417069263633721e-05
41,3.417069263633721e-05
42,3.417069263633721e-05
43,3.417069263633721e-05
44,3.417069263633721e-05
45,3.417069263633721e-05
46,3.417069263633721e-05
47,3.417069263633721e-05
48,2.4241332098995372e-05
49,2.4241332098995372e-05
50,1.0955035520510137e-05
51,1.0955035520510137e-05
52,1.0026365274029558e-05
53,8.014045754123345e-06
54,8.014045754123345e-06
55,8.014045754123345e-06
56,7.5654210469622285e-06
57,5.148897912476968e-07
58,5.148897912476968e-07
59,1.3532583409414656e-07
60,1.3532583409414656e-07
61,2.14113704544161e-08
62,2.14113704544161e-08
63,2.14113704544161e-08
64,2.14113704544161e-08
65,2.14113704544161e-08
66,2.14113704544161e-08
67,2.14113704544161e-08
68,2.14113704544161e-08
69,2.14113704544161e-08
70,2.14113704544161e-08
71,2.14113704544161e-08
72,2.14113704544161e-08
73,2.14113704544161e-08
74,2.14113704544161e-08
75,2.14113704544161e-08
76,1.977134544972614e-08
77,1.146521810824197e-08
78,1.146521810824197e-08
79,1.146521810824197e-08
80,8.36889313404754e-09
81,8.36889313404754e-09
82,8.36889313404754e-09
83,8.36889313404754e-09
84,8.36889313404754e-09
85,8.36889313404754e-09
86,8.36889313404754e-09
87,8.36889313404754e-09
88,5.596568541932356e-09
89,6.788880568819877e-10
90,6.788880568819877e-10
91,6.788880568819877e-10
92,6.788880568819877e-10
93,6.788880568819877e-10
94,6.788880568819877e-10
95,6.788880568819877e-10
96,6.788880568819877e-10
97,6.788880568819877e-10
98,6.788880568819877e-10
99,6.788880568819877e-10
100,6.788880568819877e-10
101,6.788880568819877e-10
102,6.788880568819877e-10
103,6.788880568819877e-10
104,6.788880568819877e-10
105,4.630251737580693e-10
106,4.630251737580693e-10
107,4.630251737580693e-10
108,1.1393552767913206e-11
109,1.1393552767913206e-11
110,1.1393552767913206e-11
111,1.1393552767913206e-11
112,1.1393552767913206e-11
113,1.1393552767913206e-11
114,1.1393552767913206e-11
115,1.1393552767913206e-11
116,1.1393552767913206e-11
117,3.296918293926865e-12
118,3.296918293926865e-12
119,3.296918293926865e-12
120,3.296918293926865e-12
121,3.296918293926865e-12
122,3.296918293926865e-12
123,3.296918293926865e-12
124,3.296918293926865e-12
125,3.296918293926865e-12
126,3.296918293926865e-12
127,3.296918293926865e-12
128,3.296918293926865e-12
129,5.044853423896711e-13
130,5.044853423896711e-13
131,5.044853423896711e-13
132,3.730349362740526e-13
133,2.5224267119483557e-13
134,1.9895196601282805e-13
135,1.9895196601282805e-13
136,1.2434497875801753e-13
137,1.2434497875801753e-13
138,5.684341886080802e-14
139,1.4210854715202004e-14
140,1.4210854715202004e-14
141,1.4210854715202004e-14
142,1.4210854715202004e-14
143,1.4210854715202004e-14
144,1.4210854715202004e-14
145,1.4210854715202004e-14
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
