iteration,gbest_value
0,0.8110779877638006
1,0.8110779877638006
2,0.21893530283644771
3,0.21893530283644771
4,0.21893530283644771
5,0.21893530283644771
6,0.21893530283644771
7,0.21893530283644771
8,0.21893530283644771
9,0.09421335110687634
10,0.09421335110687634
11,0.031130109523633608
12,0.031130109523633608
13,0.031130109523633608
14,0.031130109523633608
15,0.031130109523633608
16,0.031130109523633608
17,0.031130109523633608
18,0.031130109523633608
19,0.028804978891040812
20,0.004697963748659202
21,0.004697963748659202
22,0.004697963748659202
23,0.004697963748659202
24,0.004697963748659202
25,0.004697963748659202
26,0.004697963748659202
27,0.004697963748659202
28,0.004697963748659202
29,0.004697963748659202
30,0.004697963748659202
31,0.0026782142028736657
32,0.0026782142028736657
33,0.0026782142028736657
34,0.000700823198530305
35,0.000700823198530305
36,0.000700823198530305
37,0.000700823198530305
38,0.000700823198530305
39,0.000700823198530305
40,0.000700823198530305
41,0.000700823198530305
42,0.000700823198530305
43,0.000700823198530305
44,0.000700823198530305
45,0.000700823198530305
46,0.000700823198530305
47,0.000700823198530305
48,0.000700823198530305
49,0.000700823198530305
50,0.000700823198530305
51,0.000700823198530305
52,0.0005282840164456695
53,0.0005282840164456695
54,0.0004929806306046174
55,0.0003445646197057424
56,0.0003445646197057424
57,0.0003445646197057424
58,0.00032969632048720674
59,0.00032969632048720674
60,0.00029382924636936106
61,6.80101912182896e-05
62,6.80101912182896e-05
63,6.80101912182896e-05
64,6.80101912182896e-05
65,6.80101912182896e-05
66,6.80101912182896e-05
67,6.80101912182896e-05
68,6.80101912182896e-05
69,6.80101912182896e-05
70,6.80101912182896e-05
71,6.80101912182896e-05
72,6.80101912182896e-05
73,6.80101912182896e-05
74,3.0700323348296286e-05
75,3.0700323348296286e-05
76,2.9139491003512415e-05
77,2.9139491003512415e-05
78,2.9139491003512415e-05
79,2.9139491003512415e-05
80,2.9139491003512415e-05
81,2.9139491003512415e-05
82,2.9139491003512415e-05
83,2.9139491003512415e-05
84,4.834064530131749e-06
85,4.834064530131749e-06
86,4.834064530131749e-06
87,4.834064530131749e-06
88,4.834064530131749e-06
89,4.834064530131749e-06
90,4.834064530131749e-06
91,2.90960562292407e-06
92,2.90960562292407e-06
93,2.90960562292407e-06
94,2.90960562292407e-06
95,2.90960562292407e-06
96,2.90960562292407e-06
97,2.90960562292407e-06
98,2.90960562292407e-06
99,2.90960562292407e-06
100,2.90960562292407e-06
101,2.90960562292407e-06
102,2.90960562292407e-06
103,1.851931590784479e-06
104,1.0482072033937414e-07
105,1.0482072033937414e-07
106,1.0482072033937414e-07
107,1.0482072033937414e-07
108,1.0482072033937414e-07
109,1.0482072033937414e-07
110,1.0482072033937414e-07
111,1.0482072033937414e-07
112,1.0482072033937414e-07
113,1.0482072033937414e-07
114,1.0482072033937414e-07
115,1.0482072033937414e-07
116,1.0482072033937414e-07
117,1.0482072033937414e-07
118,1.0482072033937414e-07
119,1.0482072033937414e-07
120,1.0482072033937414e-07
121,1.0482072033937414e-07
122,1.0482072033937414e-07
123,1.0482072033937414e-07
124,1.0482072033937414e-07
125,1.0482072033937414e-07
126,4.2414867642896154e-08
127,4.2414867642896154e-08
128,4.2414867642896154e-08
129,2.7088842810793325e-08
130,2.7088842810793325e-08
131,2.7088842810793325e-08
132,2.7088842810793325e-08
133,2.7088842810793325e-08
134,2.7088842810793325e-08
135,1.142551126290623e-08
136,1.142551126290623e-08
137,6.837800618332642e-10
138,6.837800618332642e-10
139,6.837800618332642e-10
140,6.837800618332642e-10
141,6.837800618332642e-10
142,6.837800618332642e-10
143,6.837800618332642e-10
144,6.837800618332642e-10
145,6.837800618332642e-10
146,6.837800618332642e-10
147,6.837800618332642e-10
148,6.837800618332642e-10
149,6.837800618332642e-10
150,6.837800618332642e-10
151,6.837800618332642e-10
152,6.837800618332642e-10
153,6.837800618332642e-10
154,6.837800618332642e-10
155,6.837800618332642e-10
156,6.837800618332642e-10
157,6.837800618332642e-10
158,6.837800618332642e-10
159,6.837800618332642e-10
160,6.837800618332642e-10
161,6.837800618332642e-10
162,6.837800618332642e-10
163,6.837800618332642e-10
164,6.837800618332642e-10
165,6.837800618332642e-10
166,6.837800618332642e-10
167,6.837800618332642e-10
168,6.837800618332642e-10
169,6.837800618332642e-10
170,6.837800618332642e-10
171,6.837800618332642e-10
172,6.837800618332642e-10
173,6.837800618332642e-10
174,6.837800618332642e-10
175,6.837800618332642e-10
176,6.837800618332642e-10
177,6.837800618332642e-10
178,6.837800618332642e-10
179,6.837800618332642e-10
180,6.837800618332642e-10
181,6.837800618332642e-10
182,6.837800618332642e-10
183,6.837800618332642e-10
184,6.837800618332642e-10
185,6.837800618332642e-10
186,6.82398000404681e-10
