evaluator,n_seeds,mean_total_time,std_total_time,mean_best_fitness,beta,gamma,I0,speedup_vs_v0
sequential,3,13.405,0.555,4.1270689959012655e-05,0.2965,0.0998,11.78,1.0
threading,3,14.997,0.253,4.1270689959012655e-05,0.2965,0.0998,11.78,0.894
multiprocessing,3,6.131,0.826,4.1270689959012655e-05,0.2965,0.0998,11.78,2.186
async,3,14.046,0.194,4.1270689959012655e-05,0.2965,0.0998,11.78,0.954
vectorized,3,7.105,0.028,4.1270689959012655e-05,0.2965,0.0998,11.78,1.887
