iteration,gbest_value
0,256.53062082600786
1,47.96126220471582
2,23.001945892275597
3,15.44524152120389
4,4.738454703393812
5,3.1494345979872245
6,3.1494345979872245
7,3.1494345979872245
8,0.047337248406999634
9,0.047337248406999634
10,0.047337248406999634
11,0.047337248406999634
12,0.047337248406999634
13,0.047337248406999634
14,0.047337248406999634
15,0.047337248406999634
16,0.047337248406999634
17,0.047337248406999634
18,0.02711154872962751
19,0.02711154872962751
20,0.024654979277737868
21,0.006596578339884809
22,0.006596578339884809
23,0.0059066775908975366
24,0.0011684958378877935
25,0.0010901098708399456
26,0.0003031764374708955
27,0.0003031764374708955
28,0.0003031764374708955
29,0.0003031764374708955
30,0.0003031764374708955
31,0.0003031764374708955
32,0.0003031764374708955
33,0.0003031764374708955
34,0.0003031764374708955
35,0.0002910160015971309
36,0.0001052939733571928
37,0.0001052939733571928
38,0.0001052939733571928
39,0.0001052939733571928
40,4.9713806009012154e-05
41,4.9713806009012154e-05
42,4.9713806009012154e-05
43,4.9713806009012154e-05
44,2.5515418613701146e-05
45,2.5515418613701146e-05
46,2.5515418613701146e-05
47,2.5515418613701146e-05
48,3.3025202377774244e-06
49,3.3025202377774244e-06
50,3.3025202377774244e-06
51,3.3025202377774244e-06
52,3.3025202377774244e-06
53,3.3025202377774244e-06
54,3.3025202377774244e-06
55,3.3025202377774244e-06
56,3.3025202377774244e-06
57,1.3311231930260234e-07
58,1.3311231930260234e-07
59,1.3311231930260234e-07
60,1.3311231930260234e-07
61,1.3311231930260234e-07
62,1.3311231930260234e-07
63,1.3311231930260234e-07
64,1.3311231930260234e-07
65,1.3311231930260234e-07
66,1.3311231930260234e-07
67,1.3311231930260234e-07
68,1.3311231930260234e-07
69,1.3311231930260234e-07
70,1.3311231930260234e-07
71,1.3311231930260234e-07
72,1.3311231930260234e-07
73,1.1395192031867819e-07
74,1.1395192031867819e-07
75,1.1395192031867819e-07
76,8.838947292723172e-08
77,6.253031448697799e-08
78,2.9447092195287736e-08
79,2.9447092195287736e-08
80,2.9447092195287736e-08
81,8.873423480250092e-09
82,8.873423480250092e-09
83,8.873423480250092e-09
84,2.6849232235769024e-09
85,2.6849232235769024e-09
86,2.6849232235769024e-09
87,2.6849232235769024e-09
88,2.6849232235769024e-09
89,2.6849232235769024e-09
90,2.6849232235769024e-09
91,4.1756909345985757e-10
92,4.1756909345985757e-10
93,4.1756909345985757e-10
94,4.1756909345985757e-10
95,4.1756909345985757e-10
96,4.1756909345985757e-10
97,4.1756909345985757e-10
98,4.1756909345985757e-10
99,4.1756909345985757e-10
100,2.202146910489766e-10
101,2.202146910489766e-10
102,2.202146910489766e-10
103,2.202146910489766e-10
104,1.772935260663235e-10
105,1.772935260663235e-10
106,8.646169037383462e-11
107,3.741105883301591e-12
108,3.741105883301591e-12
109,3.741105883301591e-12
110,3.741105883301591e-12
111,3.741105883301591e-12
112,3.741105883301591e-12
113,3.741105883301591e-12
114,3.741105883301591e-12
115,2.236216751215565e-12
116,2.236216751215565e-12
117,2.236216751215565e-12
118,2.236216751215565e-12
119,2.236216751215565e-12
120,2.236216751215565e-12
121,2.236216751215565e-12
122,2.236216751215565e-12
123,2.236216751215565e-12
124,2.236216751215565e-12
125,2.0871419679081826e-12
126,2.0871419679081826e-12
127,1.9997445841376108e-13
128,1.9997445841376108e-13
129,1.9997445841376108e-13
130,1.9997445841376108e-13
131,1.9997445841376108e-13
132,1.9997445841376108e-13
133,1.9997445841376108e-13
134,1.9997445841376108e-13
135,3.4653839247872553e-14
136,3.4653839247872553e-14
137,3.4653839247872553e-14
138,6.226804530738797e-15
139,6.226804530738797e-15
140,6.226804530738797e-15
141,6.226804530738797e-15
142,6.226804530738797e-15
143,6.226804530738797e-15
144,6.226804530738797e-15
145,6.226804530738797e-15
146,6.226804530738797e-15
147,6.226804530738797e-15
148,6.226804530738797e-15
149,6.226804530738797e-15
