iteration,gbest_value
0,1476345.6015588846
1,913242.733408916
2,913242.733408916
3,853280.127883234
4,714736.9042007693
5,586189.4093637621
6,446404.77857423655
7,446404.77857423655
8,446404.77857423655
9,446404.77857423655
10,255445.96944315027
11,255445.96944315027
12,255445.96944315027
13,244433.195474807
14,181538.64131315355
15,168836.3776945858
16,157857.17634610305
17,157857.17634610305
18,157857.17634610305
19,133308.94350185775
20,126977.8340580481
21,123269.92680738159
22,123269.92680738159
23,117991.65687762422
24,116434.47005101373
25,113521.21964547779
26,112388.37077956714
27,104166.59025329177
28,104166.59025329177
29,104166.59025329177
30,102717.67904653575
31,102717.67904653575
32,99321.20095166253
33,99321.20095166253
34,96115.49054280309
35,94670.62805727318
36,94670.62805727318
37,94670.62805727318
38,94670.62805727318
39,94670.62805727318
40,94315.87381999627
41,93630.24314576988
42,92639.3591877559
43,92541.75114861032
44,91383.30875993904
45,91348.86995440767
46,90556.09003884465
47,90079.13159663792
48,88169.22282780962
49,87538.84137793191
50,87487.5118083237
51,87112.47430536739
52,87112.47430536739
53,87112.47430536739
54,85799.08933922298
55,84863.66323505895
56,84835.48728251694
57,84407.47656525718
58,84407.47656525718
59,83747.9928694945
60,83747.9928694945
61,83435.95976664804
62,83242.10496870521
63,83242.10496870521
64,83242.10496870521
65,83242.10496870521
66,83057.62379605678
67,82827.62435884739
68,82827.62435884739
69,82738.51427867063
70,82498.80532065191
71,82498.80532065191
72,82498.80532065191
73,82492.6434919168
74,82492.6434919168
75,82434.44244810953
76,82434.44244810953
77,82395.68163136857
78,82395.68163136857
79,82181.65935924443
80,82181.65935924443
81,82181.65935924443
82,82181.65935924443
83,82173.91055866519
84,82024.44472647042
85,81973.6479222942
86,81973.6479222942
87,81973.6479222942
88,81918.98994365314
89,81918.98994365314
90,81906.62771343952
91,81873.69897247302
92,81856.0834795551
93,81854.60150112794
94,81854.60150112794
95,81847.9281414448
96,81841.43533148072
97,81841.43533148072
98,81841.43533148072
99,81841.43533148072
100,81838.91698339596
101,81837.67787522587
102,81837.67787522587
103,81837.67787522587
104,81831.56355508871
105,81829.28024803026
106,81824.2141300494
107,81810.5158167319
108,81801.7007538268
109,81801.23981341961
110,81801.10469576137
111,81797.62337655286
112,81786.86214299353
113,81781.11033070934
114,81781.11033070934
115,81781.11033070934
116,81781.11033070934
117,81780.88509077784
