iteration,gbest_value
0,12.688801800257595
1,6.954330342078125
2,5.500527568143006
3,5.500527568143006
4,5.500527568143006
5,5.500527568143006
6,2.3081440326347047
7,2.3081440326347047
8,2.3081440326347047
9,2.3081440326347047
10,2.3081440326347047
11,2.3081440326347047
12,2.3081440326347047
13,1.63804946367932
14,1.1859001454622384
15,1.1859001454622384
16,1.1859001454622384
17,1.1859001454622384
18,1.1859001454622384
19,0.4445215695755711
20,0.4445215695755711
21,0.05069941531581579
22,0.05069941531581579
23,0.0394452722807519
24,0.0394452722807519
25,0.0394452722807519
26,0.0394452722807519
27,0.0394452722807519
28,0.0394452722807519
29,0.0394452722807519
30,0.0394452722807519
31,0.0394452722807519
32,0.0394452722807519
33,0.0394452722807519
34,0.0394452722807519
35,0.01746758874972487
36,0.01746758874972487
37,0.01746758874972487
38,0.01746758874972487
39,0.01746758874972487
40,0.017396464560726077
41,0.017396464560726077
42,0.011049851498260654
43,0.011049851498260654
44,0.011049851498260654
45,0.010516232151087213
46,0.010516232151087213
47,0.003957412063571031
48,0.003957412063571031
49,0.0036047961673557616
50,0.0036047961673557616
51,0.0036047961673557616
52,0.0036047961673557616
53,0.0036047961673557616
54,0.0036047961673557616
55,0.0036047961673557616
56,0.0036047961673557616
57,0.0036047961673557616
58,0.0036047961673557616
59,0.0036047961673557616
60,0.0036047961673557616
61,0.0018962531473367683
62,0.001581649554073028
63,0.0014249622596378408
64,0.0014249622596378408
65,0.0014249622596378408
66,0.00141555271323357
67,0.00141555271323357
68,0.00141555271323357
69,0.0007780648506217069
70,0.00048432158996591923
71,0.00026935162284802416
72,0.00026935162284802416
73,0.00011827443441037033
74,0.00011827443441037033
75,0.00011827443441037033
76,0.00011827443441037033
77,6.30872421472084e-05
78,6.30872421472084e-05
79,6.30872421472084e-05
80,6.30872421472084e-05
81,6.30872421472084e-05
82,6.30872421472084e-05
83,5.901993241197445e-05
84,5.901993241197445e-05
85,5.901993241197445e-05
86,5.901993241197445e-05
87,5.749723984438404e-05
88,5.266782159241146e-05
89,5.266782159241146e-05
90,3.069492279594854e-05
91,3.069492279594854e-05
92,3.069492279594854e-05
93,3.069492279594854e-05
94,3.069492279594854e-05
95,3.069492279594854e-05
96,3.069492279594854e-05
97,2.6969649227215342e-05
98,1.424774759373193e-05
99,3.858152439750739e-06
100,3.858152439750739e-06
101,3.858152439750739e-06
102,3.858152439750739e-06
103,2.3270623548121705e-06
104,2.3270623548121705e-06
105,2.3270623548121705e-06
106,2.3270623548121705e-06
107,2.3270623548121705e-06
108,2.3270623548121705e-06
109,2.3270623548121705e-06
110,2.3270623548121705e-06
111,2.3270623548121705e-06
112,2.3270623548121705e-06
113,1.5240801869431664e-06
114,1.5240801869431664e-06
115,1.5240801869431664e-06
116,1.3057453682741027e-06
117,1.3057453682741027e-06
118,1.3057453682741027e-06
119,1.3057453682741027e-06
120,4.96117884996039e-07
121,4.96117884996039e-07
122,4.96117884996039e-07
123,4.96117884996039e-07
124,4.96117884996039e-07
125,4.96117884996039e-07
126,4.96117884996039e-07
127,4.96117884996039e-07
128,4.816162904042187e-07
129,4.816162904042187e-07
130,4.816162904042187e-07
131,4.816162904042187e-07
132,2.733551132116929e-07
133,2.733551132116929e-07
134,6.101888105902731e-08
135,3.6606174536046865e-08
136,2.9013517366394126e-08
137,2.9013517366394126e-08
138,2.9013517366394126e-08
139,2.9013517366394126e-08
140,2.9013517366394126e-08
141,2.9013517366394126e-08
142,2.9013517366394126e-08
143,2.9013517366394126e-08
144,2.9013517366394126e-08
145,2.9013517366394126e-08
146,2.9013517366394126e-08
147,2.9013517366394126e-08
148,2.9013517366394126e-08
149,2.9013517366394126e-08
150,2.257211706435669e-08
151,2.257211706435669e-08
152,2.257211706435669e-08
153,2.186388003977413e-08
154,9.045085125336527e-09
155,9.045085125336527e-09
156,9.045085125336527e-09
157,9.045085125336527e-09
158,7.58678853074457e-09
159,7.58678853074457e-09
160,6.526317708477336e-09
161,6.526317708477336e-09
162,6.526317708477336e-09
163,6.526317708477336e-09
164,4.431804700999464e-09
165,4.431804700999464e-09
166,1.395801252357387e-09
167,1.395801252357387e-09
168,1.395801252357387e-09
169,1.395801252357387e-09
170,1.395801252357387e-09
171,1.395801252357387e-09
172,1.395801252357387e-09
173,1.395801252357387e-09
174,1.395801252357387e-09
175,1.395801252357387e-09
176,1.395801252357387e-09
177,1.224023993273704e-09
178,1.224023993273704e-09
179,1.224023993273704e-09
180,1.224023993273704e-09
181,1.224023993273704e-09
182,1.224023993273704e-09
183,1.224023993273704e-09
184,1.224023993273704e-09
185,4.521685248448648e-10
186,4.521685248448648e-10
187,4.521685248448648e-10
188,4.521685248448648e-10
189,4.521685248448648e-10
190,4.521685248448648e-10
191,4.521685248448648e-10
192,4.521685248448648e-10
193,4.521685248448648e-10
194,4.521685248448648e-10
195,4.521685248448648e-10
196,4.521685248448648e-10
197,2.5024649019655953e-10
198,2.5024649019655953e-10
199,1.323532394792437e-10
200,1.323532394792437e-10
201,1.323532394792437e-10
202,1.323532394792437e-10
203,1.287792095183704e-10
204,1.287792095183704e-10
205,1.287792095183704e-10
